来源系统,单据编号,单据日期,单据类型,交易类型,委托单位编码,委托单位,制单人编码,制单人,附件个数,影像张数,共享中心,共享服务类型,服务目录,任务属性,创建时间,入池时间,入组时间,任务类型,任务量系数,优先级,工作组,派单到人模式,派单到人规则,提取/派单时间,操作终端,处理人编码,处理人,处理时间,处理意见,处理意见标签化,作业状态,作业时长,修正作业时长,超期标记,超期时间,共享是否处理完成,共享处理次数,进入共享次数,页面审核时长,驳回类型,驳回模式,驳回接收环节,驳回接收人,驳出共享次数
财务会计,AP-2026-000001,2026-05-08,应付发票,应付确认单（物料类）,A07,示例集团·庚公司,MAK01,制单人01,,3,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-22 19:57:34,2026-04-22 19:57:40,2026-04-22 19:58:56,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-22 19:58:56,PC端,AUD02,审核员02,2026-04-22 21:47:56,驳回,附件不完整,审核驳回,15分32秒,36分12秒,0,,是,1,1,289秒,驳回,1,制单人,制单人01,1
财务会计,AP-2026-000002,2026-01-28,应付发票,应付确认单（物料类）,A04,示例集团·丁公司,MAK08,制单人08,,1,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-06 19:27:21,2026-06-06 19:27:39,2026-06-06 19:27:59,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-06 19:27:59,移动端,AUD02,审核员02,2026-06-06 20:23:59,同意,,审核通过,25分6秒,--,0,,是,1,1,193秒,,0,,,--
财务会计,AP-2026-000003,2026-04-24,付款单,通用报销单（费用报销）,A12,示例集团·子公司乙,MAK10,制单人10,,3,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-04-13 09:35:18,2026-04-13 09:36:12,2026-04-13 09:37:33,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-13 09:37:33,PC端,AUD06,审核员06,2026-04-13 12:16:33,同意,,审核通过,5分2秒,--,0,,是,1,1,126秒,,0,,,--
财务会计,AP-2026-000004,2026-03-28,应付发票,应付付款单（差旅费）,A10,示例集团·癸公司,MAK16,制单人16,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-15 18:53:23,2026-01-15 18:53:34,2026-01-15 18:54:22,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-15 18:54:22,移动端,AUD06,审核员06,2026-01-15 20:25:22,同意,,审核通过,39分40秒,--,0,,是,1,1,97秒,,0,,,--
财务会计,AP-2026-000005,2026-04-09,应付发票,其他专项付款单,A06,示例集团·己公司,MAK04,制单人04,,5,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-03-08 18:20:53,2026-03-08 18:21:43,2026-03-08 18:23:23,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-08 18:23:23,PC端,AUD04,审核员04,2026-03-08 18:38:23,同意,其他,审核通过,26分17秒,37分56秒,0,,是,1,1,171秒,,0,,,1
费控服务,AP-2026-000006,2026-01-21,付款单,应付确认单（物料类）,A02,示例集团·乙公司,MAK08,制单人08,,6,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-05 11:47:35,2026-06-05 11:48:10,2026-06-05 11:48:44,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-05 11:48:44,移动端,AUD07,审核员07,2026-06-05 15:00:44,同意,,审核通过,24分14秒,--,0,,是,1,1,80秒,,0,,,--
费控服务,AP-2026-000007,2026-01-04,通用报销单,应付付款单（材料采购）,A05,示例集团·戊公司,MAK02,制单人02,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-04-26 18:27:38,2026-04-26 18:27:43,2026-04-26 18:28:33,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-26 18:28:33,PC端,AUD01,审核员01,2026-04-26 20:06:33,同意,,审核通过,36分55秒,--,0,,是,1,1,15秒,,0,,,--
财务会计,AP-2026-000008,2026-01-25,应付发票,应付确认单（物料类）,A08,示例集团·辛公司,MAK02,制单人02,,4,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-03-11 09:18:27,2026-03-11 09:18:38,2026-03-11 09:19:37,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-11 09:19:37,PC端,AUD07,审核员07,2026-03-11 09:20:37,同意,,审核通过,33分48秒,--,0,,是,1,1,101秒,,0,,,--
费控服务,AP-2026-000009,2026-02-27,通用报销单,其他专项付款单,A05,示例集团·戊公司,MAK02,制单人02,,5,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-04-07 10:23:48,2026-04-07 10:23:59,2026-04-07 10:25:09,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-07 10:25:09,PC端,AUD05,审核员05,2026-04-07 13:45:09,同意,,审核通过,32分1秒,--,0,,是,1,1,67秒,,0,,,--
费控服务,AP-2026-000010,2026-03-10,通用报销单,通用报销单（费用报销）,A15,示例集团·子公司戊,MAK15,制单人15,,2,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-06-19 09:05:46,2026-06-19 09:06:18,2026-06-19 09:08:03,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-19 09:08:03,移动端,AUD06,审核员06,2026-06-19 09:26:03,同意,,审核通过,9分42秒,--,0,,是,1,1,253秒,,0,,,--
财务会计,AP-2026-000011,2026-03-20,应付发票,其他专项付款单,A16,示例集团·子公司己,MAK03,制单人03,,5,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-18 20:46:44,2026-06-18 20:46:57,2026-06-18 20:48:29,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-18 20:48:29,移动端,AUD04,审核员04,2026-06-18 22:08:29,同意,,审核通过,29分57秒,--,0,,是,1,1,274秒,,0,,,--
费控服务,AP-2026-000012,2026-06-01,通用报销单,应付确认单（物料类）,A05,示例集团·戊公司,MAK04,制单人04,,5,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-19 11:00:04,2026-04-19 11:00:50,2026-04-19 11:02:11,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-19 11:02:11,PC端,AUD01,审核员01,2026-04-19 11:18:11,同意,,审核通过,5分32秒,--,0,,是,1,1,131秒,,0,,,--
财务会计,AP-2026-000013,2026-01-24,付款单,应付确认单（物料类）,A03,示例集团·丙公司,MAK08,制单人08,,5,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-03-08 20:30:51,2026-03-08 20:31:18,2026-03-08 20:31:43,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-08 20:31:43,PC端,AUD04,审核员04,2026-03-08 20:56:43,驳回,附件信息不一致,审核驳回,28分26秒,4分43秒,0,,是,2,1,60秒,驳回,1,前端单位,示例集团·丙公司,2
费控服务,AP-2026-000014,2026-05-04,应付发票,应付付款单（材料采购）,A01,示例集团·甲公司,MAK12,制单人12,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-04-18 15:08:27,2026-04-18 15:08:39,2026-04-18 15:09:15,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-18 15:09:15,移动端,AUD06,审核员06,2026-04-18 17:08:15,同意,,审核通过,36分6秒,--,0,,是,1,1,35秒,,0,,,--
