序号,BIP系统模块,BIP系统优化点,状态,一级分类,二级分类,解决方案
1,费控模块,示例优化需求01：预算控制相关的流程与系统功能改进建议,进行中,操作类,流程优化,暂无方案
2,应付组,示例优化需求02：合同关联相关的流程与系统功能改进建议,待评估,系统类,合同管控,暂无方案
3,费控模块,示例优化需求03：审批环节相关的流程与系统功能改进建议,进行中,管控类,字段校验,客开
4,应付组,示例优化需求04：派单规则相关的流程与系统功能改进建议,待评估,操作类,效率提升,客开
5,费控模块,示例优化需求05：派单规则相关的流程与系统功能改进建议,已完成,系统类,数据治理,配置
6,合同模块,示例优化需求06：预算控制相关的流程与系统功能改进建议,关闭需求,管控类,字段校验,——
7,费控模块,示例优化需求07：预算控制相关的流程与系统功能改进建议,待评估,操作类,效率提升,暂无方案
8,费控模块,示例优化需求08：影像管理相关的流程与系统功能改进建议,关闭需求,系统类,流程优化,配置
9,应付组,示例优化需求09：派单规则相关的流程与系统功能改进建议,进行中,系统类,字段校验,——
10,合同模块,示例优化需求10：派单规则相关的流程与系统功能改进建议,进行中,操作类,预算管控,客开
11,发票模块,示例优化需求11：影像管理相关的流程与系统功能改进建议,待评估,管控类,数据治理,集团管理员及共享各业务小组更新
12,发票模块,示例优化需求12：影像管理相关的流程与系统功能改进建议,进行中,管控类,字段校验,集团管理员及共享各业务小组更新
13,发票模块,示例优化需求13：单据校验相关的流程与系统功能改进建议,待评估,系统类,预算管控,配置
14,应付组,示例优化需求14：审批环节相关的流程与系统功能改进建议,进行中,管控类,流程优化,暂无方案
15,发票模块,示例优化需求15：影像管理相关的流程与系统功能改进建议,待评估,系统类,预算管控,配置
16,应付组,示例优化需求16：单据校验相关的流程与系统功能改进建议,已完成,管控类,字段校验,——
17,发票模块,示例优化需求17：审批环节相关的流程与系统功能改进建议,待评估,操作类,效率提升,——
18,应付组,示例优化需求18：审批环节相关的流程与系统功能改进建议,进行中,管控类,字段校验,客开
19,发票模块,示例优化需求19：预算控制相关的流程与系统功能改进建议,关闭需求,管控类,合同管控,集团管理员及共享各业务小组更新
20,费控模块,示例优化需求20：单据校验相关的流程与系统功能改进建议,已完成,操作类,效率提升,暂无方案
21,应付组,示例优化需求21：审批环节相关的流程与系统功能改进建议,暂无状态,管控类,预算管控,客开
22,合同模块,示例优化需求22：派单规则相关的流程与系统功能改进建议,已完成,系统类,数据治理,集团管理员及共享各业务小组更新
23,合同模块,示例优化需求23：预算控制相关的流程与系统功能改进建议,关闭需求,系统类,字段校验,集团管理员及共享各业务小组更新
24,费控模块,示例优化需求24：派单规则相关的流程与系统功能改进建议,待评估,系统类,数据治理,集团管理员及共享各业务小组更新
25,发票模块,示例优化需求25：影像管理相关的流程与系统功能改进建议,关闭需求,系统类,合同管控,配置
26,合同模块,示例优化需求26：合同关联相关的流程与系统功能改进建议,已完成,管控类,效率提升,客开
27,发票模块,示例优化需求27：合同关联相关的流程与系统功能改进建议,待评估,管控类,预算管控,暂无方案
28,应付组,示例优化需求28：派单规则相关的流程与系统功能改进建议,已完成,管控类,合同管控,客开
29,发票模块,示例优化需求29：派单规则相关的流程与系统功能改进建议,进行中,管控类,字段校验,——
30,合同模块,示例优化需求30：派单规则相关的流程与系统功能改进建议,待评估,管控类,流程优化,暂无方案
