委托单位编码,委托单位名称,单据编号,单据类型,交易类型,币种,金额,优先级,超期状态,单据日期,任务类型,工作组,处理人,作业状态,入池时间,入组时间,提取时间,通过时间,是否全电发票,收单状态,实物状态,共享中心,服务目录,自动审批状态,任务量
A07,示例集团·庚公司,AP-2026-000001,应付发票,应付确认单（物料类）,人民币,11367.97,,--,2026-05-08,FSSC审核岗,应付成本组,审核员02,审核驳回,2026-04-22 19:57:40,2026-04-22 19:58:56,2026-04-22 19:58:05,--,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A04,示例集团·丁公司,AP-2026-000002,应付发票,应付确认单（物料类）,人民币,147513.52,,--,2026-01-28,FSSC审核岗,应付成本组,审核员02,审核通过,2026-06-06 19:27:39,2026-06-06 19:27:59,2026-06-06 19:36:07,2026-06-06 22:22:59,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000003,付款单,通用报销单（费用报销）,人民币,42909.94,,--,2026-04-24,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-13 09:36:12,2026-04-13 09:37:33,2026-04-13 09:46:12,2026-04-13 12:59:33,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000003,付款单,通用报销单（费用报销）,人民币,29753.0,,--,2026-04-24,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-13 09:36:12,2026-04-13 09:37:33,2026-04-13 09:38:29,2026-04-13 12:56:33,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A12,示例集团·子公司乙,AP-2026-000003,付款单,通用报销单（费用报销）,人民币,88890.42,,--,2026-04-24,FSSC审核岗,应付成本组,审核员06,审核通过,2026-04-13 09:36:12,2026-04-13 09:37:33,2026-04-13 09:39:27,2026-04-13 13:33:33,,--,,示例集团财务共享中心（本部）,通用报销单（费用报销）,非自动审批,1
A10,示例集团·癸公司,AP-2026-000004,应付发票,应付付款单（差旅费）,人民币,7387.25,,--,2026-03-28,FSSC审核岗,应付成本组,审核员06,审核通过,2026-01-15 18:53:34,2026-01-15 18:54:22,2026-01-15 18:58:35,2026-01-15 21:44:22,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A10,示例集团·癸公司,AP-2026-000004,应付发票,应付付款单（差旅费）,人民币,91942.77,,--,2026-03-28,FSSC审核岗,应付成本组,审核员06,审核通过,2026-01-15 18:53:34,2026-01-15 18:54:22,2026-01-15 19:00:20,2026-01-15 21:20:22,,--,,示例集团财务共享中心（本部）,应付付款单（差旅费）,非自动审批,1
A06,示例集团·己公司,AP-2026-000005,应付发票,其他专项付款单,人民币,52508.11,,--,2026-04-09,FSSC审核岗,应付成本组,审核员04,审核通过,2026-03-08 18:21:43,2026-03-08 18:23:23,2026-03-08 18:24:14,2026-03-08 20:25:23,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A06,示例集团·己公司,AP-2026-000005,应付发票,其他专项付款单,人民币,54816.53,,--,2026-04-09,FSSC审核岗,应付成本组,审核员04,审核通过,2026-03-08 18:21:43,2026-03-08 18:23:23,2026-03-08 18:23:19,2026-03-08 20:13:23,,--,,示例集团财务共享中心（本部）,其他专项付款单,非自动审批,1
A02,示例集团·乙公司,AP-2026-000006,付款单,应付确认单（物料类）,人民币,123850.87,,--,2026-01-21,FSSC审核岗,应付成本组,审核员07,审核通过,2026-06-05 11:48:10,2026-06-05 11:48:44,2026-06-05 11:54:22,2026-06-05 16:49:44,,--,,示例集团财务共享中心（本部）,应付确认单（物料类）,非自动审批,1
